2026-05-27 11:12:51,497 | INFO     | telethon.crypto.libssl   | Failed to load SSL library: <class 'OSError'> (no library called "ssl" found)
2026-05-27 11:12:51,498 | INFO     | telethon.crypto.aes      | cryptg module not installed and libssl not found, falling back to (slower) Python encryption
2026-05-27 11:12:52,091 | INFO     | telethon.network.mtprotosender | Connecting to 149.154.167.51:443/TcpFull...
2026-05-27 11:12:54,159 | INFO     | telethon.network.mtprotosender | Connection to 149.154.167.51:443/TcpFull complete!
2026-05-27 11:15:26,645 | WARNING  | telethon.network.connection.connection | Server closed the connection: 0 bytes read on a total of 8 expected bytes
2026-05-27 11:15:26,685 | INFO     | telethon.network.mtprotosender | Connection closed while receiving data: 0 bytes read on a total of 8 expected bytes
2026-05-27 11:15:26,686 | INFO     | telethon.network.mtprotosender | Closing current connection to begin reconnect...
2026-05-27 11:15:26,686 | INFO     | telethon.network.mtprotosender | Connecting to 149.154.167.51:443/TcpFull...
2026-05-27 11:15:26,896 | INFO     | telethon.network.mtprotosender | Connection to 149.154.167.51:443/TcpFull complete!
2026-05-27 11:15:27,419 | INFO     | telethon.client.users    | Phone migrated to 5
2026-05-27 11:15:27,419 | INFO     | telethon.client.telegrambaseclient | Reconnecting to new data center 5
2026-05-27 11:15:27,674 | INFO     | telethon.network.mtprotosender | Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-27 11:15:27,675 | INFO     | telethon.network.mtprotosender | Disconnection from 149.154.167.51:443/TcpFull complete!
2026-05-27 11:15:27,675 | INFO     | telethon.network.mtprotosender | Connecting to 91.108.56.104:443/TcpFull...
2026-05-27 11:15:28,816 | INFO     | telethon.network.mtprotosender | Connection to 91.108.56.104:443/TcpFull complete!
2026-05-27 11:15:32,067 | INFO     | telethon.network.mtprotosender | Disconnecting from 91.108.56.104:443/TcpFull...
2026-05-27 11:15:32,068 | INFO     | telethon.network.mtprotosender | Disconnection from 91.108.56.104:443/TcpFull complete!
2026-05-27 11:19:48,176 | INFO     | telethon.crypto.libssl   | Failed to load SSL library: <class 'OSError'> (no library called "ssl" found)
2026-05-27 11:19:48,177 | INFO     | telethon.crypto.aes      | cryptg module not installed and libssl not found, falling back to (slower) Python encryption
2026-05-27 11:19:48,687 | INFO     | telethon.network.mtprotosender | Connecting to 149.154.167.51:443/TcpFull...
2026-05-27 11:19:50,555 | INFO     | telethon.network.mtprotosender | Connection to 149.154.167.51:443/TcpFull complete!
2026-05-27 11:19:51,510 | INFO     | telethon.client.users    | Phone migrated to 5
